rotation,f_hour,max_csi,avg_csi,min_csi,max_pod,avg_pod,min_pod,max_sr,avg_sr,min_sr
0,f000,0.3128025,0.17243776,0.0,0.9495151,0.36118862,0.0,0.78926444,0.48401383,0.240293
1,f000,0.30761957,0.12055562,0.0,0.7961463,0.19465938,0.0,1.0,0.6101244,0.31253514
2,f000,0.2714538,0.11121839,0.0,0.87731975,0.22861648,0.0,0.6577181,0.45209795,0.14285715
0,f024,0.27271146,0.14899912,0.0,0.94605476,0.36330736,0.0,0.63846153,0.34202617,0.0
1,f024,0.26968583,0.09681679,0.0,0.86033696,0.19409786,0.0,0.719697,0.44619936,0.26029614
2,f024,0.2734935,0.1094438,0.0,0.8493206,0.21795003,0.0,0.6641318,0.43248895,0.14285715
0,f048,0.29689685,0.16770808,0.0,0.9423684,0.35487038,0.0,1.0,0.4825193,0.24116346
1,f048,0.29973188,0.12643681,0.0,0.84731704,0.22394542,0.0,0.91902834,0.6021599,0.28891692
2,f048,0.28892264,0.14624295,0.0,0.9471233,0.32209545,0.0,1.0,0.51616555,0.23069343
0,f072,0.2845111,0.16863258,0.0,0.9386761,0.39046046,0.0,0.8947368,0.44612202,0.23406297
1,f072,0.28551066,0.0870866,0.0,0.6951965,0.13721982,0.0,1.0,0.62175655,0.326365
2,f072,0.22390199,0.08870558,0.0,0.91968477,0.22911274,0.0,0.45454547,0.307352,0.19774127
0,f096,0.27218515,0.11100678,0.0,0.9151431,0.24753937,0.0,0.6336207,0.455932,0.23847313
1,f096,0.29093832,0.12489475,0.0,0.83423465,0.22529452,0.0,0.8878628,0.52790564,0.0
2,f096,0.26306534,0.12296762,0.0,0.9166651,0.28281507,0.0,0.9354839,0.47206655,0.23012286
0,f120,0.257093,0.12815817,0.0,0.9692013,0.3436209,0.0,0.54347825,0.34986353,0.2089291
1,f120,0.2156413,0.05884861,0.0,0.8180393,0.14799304,0.0,0.574452,0.2695601,0.22366008
2,f120,0.21966948,0.089789525,0.0,0.89870614,0.23244908,0.0,0.41636363,0.30368662,0.19822249
0,f144,0.24722236,0.09856541,0.0,0.9675781,0.2766156,0.0,0.54,0.35436046,0.20891069
1,f144,0.27445897,0.1100352,0.0,0.9117463,0.22994724,0.0,0.9583333,0.554633,0.24137999
2,f144,0.19956002,0.0871014,0.0,0.9986239,0.22698367,0.0,0.82857144,0.34147245,0.16023605
0,f168,0.24896829,0.10222344,0.0,0.9414409,0.26767594,0.0,0.84347826,0.44439226,0.21527539
1,f168,0.25252554,0.08911126,0.0,0.903856,0.20603392,0.0,1.0,0.5412361,0.2330609
2,f168,0.23787282,0.10090443,0.0,0.9397397,0.26093847,0.0,0.66529775,0.400852,0.20963012
0,f192,0.21113566,0.06642176,0.0,0.9330812,0.18847695,0.0,0.24768479,0.21829718,0.1376673
1,f192,0.2493492,0.10520633,0.0,0.9608096,0.25188965,0.0,1.0,0.547942,0.22138816
2,f192,0.22551228,0.116666794,0.0,0.9239531,0.29476488,0.0,0.8372093,0.39323094,0.20589964
